"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,94","5,35","5,48","4,90","231,86M","-6,79%"
"01.03.2024","5,30","6,07","6,35","5,17","171,29M","-12,69%"
"01.02.2024","6,07","6,78","6,85","6,04","119,90M","-10,74%"
"01.01.2024","6,80","7,80","8,05","6,46","159,61M","-13,15%"
"01.12.2023","7,83","7,16","7,96","6,75","135,57M","9,36%"
"01.11.2023","7,16","5,05","7,19","5,02","254,66M","38,22%"
"01.10.2023","5,18","4,85","5,23","4,56","194,77M","6,80%"
"01.09.2023","4,85","4,33","4,87","4,16","169,23M","13,32%"
"01.08.2023","4,28","4,45","4,45","4,02","136,89M","-3,82%"
"01.07.2023","4,45","4,19","4,54","4,08","135,78M","6,46%"
"01.06.2023","4,18","4,45","4,82","4,18","215,68M","-5,00%"
"01.05.2023","4,40","4,20","4,99","3,96","227,94M","-5,17%"
"01.04.2023","4,64","4,84","4,99","4,25","122,53M","-4,13%"
"01.03.2023","4,84","4,75","5,20","4,41","186,72M","3,86%"
"01.02.2023","4,66","5,33","5,39","4,53","137,35M","-12,73%"
"01.01.2023","5,34","4,10","5,40","3,90","191,07M","30,88%"
"01.12.2022","4,08","3,84","4,17","3,67","182,10M","5,43%"
"01.11.2022","3,87","2,97","3,95","2,96","249,48M","17,27%"
"01.10.2022","3,30","3,37","3,77","3,16","176,95M","-0,30%"
"01.09.2022","3,31","3,56","3,82","3,18","207,55M","-8,56%"
"01.08.2022","3,62","3,50","4,06","3,43","193,36M","3,43%"
"01.07.2022","3,50","3,84","3,86","3,27","171,95M","-9,33%"
"01.06.2022","3,86","4,83","5,34","3,86","184,61M","-20,08%"
"01.05.2022","4,83","4,81","5,30","4,08","176,59M","1,89%"