Empresa,1T2023_Dívida Líquida - (R$),1T2023_EBIT - (R$),1T2023_Lucro Líquido - (R$),1T2023_ROE - (%),1T2023_Receita Líquida - (R$),2T2023_Dívida Líquida - (R$),2T2023_EBIT - (R$),2T2023_Lucro Líquido - (R$),2T2023_ROE - (%),2T2023_Receita Líquida - (R$),Classificação
PETR4,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,1
MGLU3,5038335000.0,16328000.0,-391221000.0,-3.8,9067334000.0,4744924000.0,-35923000.0,-301746000.0,-3.01,8572256000.0,0
OIBR3,20956798000.0,-102677000.0,-1267087000.0,-5.47,2535792000.0,21232781000.0,-266082000.0,-844524000.0,-3.53,2454171000.0,0
B3SA3,-2501944000.0,1356975000.0,1089458000.0,5.3,2460480000.0,-2834396000.0,1374315000.0,1052942000.0,5.13,2477122000.0,0
COGN3,6158625000.0,259730000.0,53920000.0,0.45,1329876000.0,6161440000.0,147387000.0,-64907000.0,-0.39,1386677000.0,0
HAPV3,7416792000.0,93340000.0,-341550000.0,-0.71,6726190000.0,5848366000.0,63972000.0,-161941000.0,-0.33,6839824000.0,0
ITSA4,5956000000.0,3323000000.0,2896000000.0,3.8,1712000000.0,5000000000.0,4141000000.0,3691000000.0,4.67,1954000000.0,0
ABEV3,-8790000000.0,4875600000.0,3819200000.0,4.35,20531700000.0,-8438234000.0,3445417000.0,2597760000.0,2.94,18898114000.0,0
PCAR3,3044000000.0,-105000000.0,-195000000.0,-2.17,4496000000.0,2942000000.0,-51000000.0,-352000000.0,-2.43,4755000000.0,0
SOMA3,980814000.0,69231000.0,48894000.0,0.65,1202690000.0,1222328000.0,121888000.0,85371000.0,1.13,1295162000.0,0
BHIA3,8178000000.0,274000000.0,-297000000.0,-5.86,7354000000.0,7817000000.0,-42000000.0,-492000000.0,-10.67,7489000000.0,0
CMIG4,7322212000.0,1859305000.0,1398206000.0,6.13,8646937000.0,8105244000.0,1575671000.0,1245382000.0,5.27,8819517000.0,0
RAIL3,11431846000.0,678543000.0,71046000.0,0.48,2383828000.0,11372965000.0,909448000.0,167202000.0,1.08,2763112000.0,0
CVCB3,372503000.0,-36360000.0,-127955000.0,-67.27,295455000.0,17046000.0,-55288000.0,-166951000.0,-31.5,269357000.0,0
LREN3,-372209000.0,-26661000.0,46766000.0,0.48,2775292000.0,-574857000.0,224430000.0,229700000.0,2.36,3504083000.0,0
CPLE6,11815159000.0,1214240000.0,635490000.0,2.92,5530666000.0,11860135000.0,750978000.0,307706000.0,1.46,5359727000.0,1
AZUL4,22678430000.0,168030000.0,-736600000.0,-3.73,4478300000.0,21607032000.0,301217000.0,23908000.0,-0.12,4254195000.0,0
PETR3,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,1
ALOS3,-2117074000.0,4693643000.0,2999150000.0,20.14,621413000.0,-1706947000.0,318842000.0,179368000.0,1.04,650181000.0,0
PETZ3,-48195000.0,29334000.0,2172000.0,0.12,766881000.0,-53318000.0,40018000.0,11391000.0,0.61,791648000.0,0
HBSA3,3857787000.0,126220000.0,20070000.0,1.47,478090000.0,3572386000.0,243158000.0,117863000.0,7.91,597479000.0,1
PRIO3,9990725000.0,1519843000.0,1162065000.0,10.93,2814955000.0,9094547000.0,1181189000.0,840969000.0,7.82,2311206000.0,1
MRVE3,6772501000.0,-31146000.0,40736000.0,0.52,1689885000.0,7518430000.0,112584000.0,192480000.0,3.01,1825658000.0,0
POMO4,956419000.0,258134000.0,236276000.0,7.66,1653970000.0,1069223000.0,122019000.0,140456000.0,4.28,1364476000.0,2
CPLE3,11815159000.0,1214240000.0,635490000.0,2.92,5530666000.0,11860135000.0,750978000.0,307706000.0,1.46,5359727000.0,0
LWSA3,-1350633000.0,21220000.0,7230000.0,0.24,302850000.0,-986749000.0,19489000.0,-38831000.0,-1.33,313900000.0,0
ELET3,35434800000.0,3986877000.0,405963000.0,0.44,9209833000.0,37175921000.0,5697633000.0,1618904000.0,1.51,9245530000.0,0
CMIN3,-961017000.0,1148540000.0,515797000.0,4.27,4514331000.0,-281596000.0,1085009000.0,494181000.0,4.72,4014012000.0,0
CCRO3,20120666000.0,1808294000.0,629329000.0,5.17,3798540000.0,22439785000.0,1313874000.0,263182000.0,2.21,3905137000.0,0
VAMO3,7128238000.0,541691000.0,169126000.0,4.45,1682313000.0,9166137000.0,523579000.0,106601000.0,2.72,1468919000.0,0
GGBR4,6436107000.0,4292437000.0,3215399000.0,6.59,18872303000.0,6510604000.0,2884904000.0,2142723000.0,4.36,18265370000.0,0
GOAU4,5458961000.0,4288523000.0,3236531000.0,6.33,18872303000.0,5547638000.0,2852794000.0,2132522000.0,4.05,18265370000.0,0
RAPT4,3321200000.0,376755000.0,186840000.0,4.29,2658168000.0,3226436000.0,376434000.0,187126000.0,3.98,2776867000.0,0
GOLL4,11607399000.0,796495000.0,619525000.0,-2.94,4920195000.0,11580317000.0,537204000.0,556289000.0,-2.72,4145926000.0,0
SUZB3,55659605000.0,4306288000.0,5242793000.0,13.71,11276383000.0,54757986000.0,3068677000.0,5077623000.0,11.91,9159634000.0,1
RENT3,29868066000.0,1639584000.0,521549000.0,2.51,6825668000.0,27121205000.0,820324000.0,-88771000.0,-0.35,6846159000.0,0
WEGE3,-2216187000.0,1538193000.0,1323941000.0,8.79,7696157000.0,-2697737000.0,1681273000.0,1409787000.0,8.89,8171322000.0,0
CRFB3,18360000000.0,876000000.0,-112000000.0,-0.56,25793000000.0,15221000000.0,769000000.0,-203000000.0,-1.27,27466000000.0,0
RRRP3,358619000.0,72677000.0,16103000.0,0.3,573698000.0,1597173000.0,74907000.0,79388000.0,1.47,836582000.0,0
RADL3,1904141000.0,432683000.0,198018000.0,3.52,7931346000.0,2033170000.0,642979000.0,343081000.0,6.11,8442315000.0,0
RDOR3,2773615000.0,866309000.0,303808000.0,1.3,11315224000.0,2507876000.0,1121880000.0,435358000.0,1.82,11678702000.0,0
BRFS3,15642110000.0,-179360000.0,-1023630000.0,-10.07,13177970000.0,15911957000.0,-361283000.0,-1337274000.0,-14.85,12204971000.0,0
VBBR3,12040000000.0,429000000.0,81000000.0,0.64,39037000000.0,11236000000.0,524000000.0,133000000.0,1.04,37184000000.0,1
ANIM3,2744600000.0,157200000.0,-41350000.0,-2.88,954400000.0,4168325000.0,131062000.0,-57815000.0,-3.95,932424000.0,0
CSAN3,44669678000.0,3154581000.0,-418732000.0,-4.61,9631327000.0,44503981000.0,2229553000.0,-446741000.0,-5.82,10010456000.0,0
TIMS3,5851610000.0,779511000.0,412436000.0,1.64,5640155000.0,1451000000.0,1039000000.0,626000000.0,2.47,5863000000.0,0
ECOR3,10493716000.0,601698000.0,113032000.0,4.67,1604337000.0,12192841000.0,683879000.0,123712000.0,4.73,2009554000.0,0
ENEV3,17604834000.0,753213000.0,222668000.0,1.77,2459203000.0,16576348000.0,806827000.0,389928000.0,3.01,2523334000.0,0
BRKM5,22425699000.0,496069000.0,242448000.0,2.36,19446048000.0,21953684000.0,-1640211000.0,-823348000.0,-10.65,17756177000.0,0
STBP3,-248467000.0,94290000.0,45860000.0,2.14,426940000.0,-177527000.0,162926000.0,94399000.0,4.33,507253000.0,0
BEEF3,7704769000.0,400861000.0,113964000.0,22.45,6381473000.0,7696166000.0,571405000.0,120732000.0,28.8,7276483000.0,0
MRFG3,43981159000.0,-266100000.0,-1568280000.0,-13.42,31757480000.0,43535895000.0,-87875000.0,-1820730000.0,-19.35,32513916000.0,1
EQTL3,32788578000.0,1873690000.0,287879000.0,0.92,10176570000.0,33580557000.0,1801776000.0,670650000.0,2.78,9201477000.0,0
CSNA3,27143838000.0,580520000.0,-822548000.0,-4.82,11318690000.0,28489685000.0,1140964000.0,283298000.0,0.99,10989111000.0,0
YDUQ3,4190685000.0,309259000.0,149490000.0,4.8,1313329000.0,4266526000.0,213011000.0,32049000.0,1.02,1307960000.0,0
QUAL3,1465410000.0,90871000.0,19097000.0,1.22,457348000.0,1367338000.0,79900000.0,15500000.0,0.99,435000000.0,0
JBSS3,83342561000.0,-594784000.0,-1429501000.0,-3.25,86683729000.0,80250283000.0,1539791000.0,-198167000.0,-0.62,89382631000.0,0
DXCO3,4062724000.0,379320000.0,154329000.0,2.49,1712018000.0,4322828000.0,365719000.0,157383000.0,2.61,1953755000.0,0
NTCO3,9442970000.0,27436000.0,-652154000.0,-2.96,7320156000.0,9933313000.0,-132117000.0,-731908000.0,-3.56,7773542000.0,0
CEAB3,766613000.0,-93195000.0,-126300000.0,-4.4,1240600000.0,745406000.0,101931000.0,4224000.0,0.15,1642961000.0,0
EMBR3,6643973000.0,-270680000.0,-378400000.0,-2.88,3726000000.0,6556296000.0,350180000.0,-132403000.0,-0.79,6359821000.0,1
VIVA3,-69645000.0,48234000.0,38571000.0,2.28,391627000.0,13461000.0,126235000.0,109984000.0,6.1,559909000.0,0
CYRE3,1876401000.0,177450000.0,191060000.0,2.26,1283430000.0,1958542000.0,318666000.0,308025000.0,3.72,1633055000.0,0
GUAR3,1717949000.0,-68270000.0,-175667000.0,-3.46,1827099000.0,1706150000.0,83288000.0,-17616000.0,-0.35,2138896000.0,0
ARZZ3,277025000.0,104824000.0,63385000.0,2.32,1025291000.0,345987000.0,125468000.0,100462000.0,3.62,1131023000.0,0
TOTS3,-840917000.0,188913000.0,99547000.0,2.19,1064142000.0,-974137000.0,168858000.0,103897000.0,2.17,1087915000.0,0
EGIE3,14627252000.0,1836760000.0,882222000.0,9.54,2913748000.0,13291373000.0,1478223000.0,732645000.0,8.78,2609533000.0,0
ALPA4,901106000.0,-288064000.0,-199691000.0,-3.62,902486000.0,936861000.0,-65086000.0,-53095000.0,-1.0,926359000.0,0
TEND3,757530000.0,21214000.0,-43685000.0,-6.22,651443000.0,628028000.0,14278000.0,-11868000.0,-1.53,710452000.0,1
UGPA3,8763953000.0,677800000.0,273800000.0,2.2,30551800000.0,8507490000.0,514602000.0,238691000.0,1.77,29592540000.0,0
CPFE3,7795905000.0,2990780000.0,1650675000.0,8.93,9839240000.0,19397499000.0,2497917000.0,1246952000.0,6.67,9388917000.0,0
SLCE3,2701680000.0,973276000.0,574975000.0,10.33,3074186000.0,3764356000.0,644004000.0,348719000.0,6.31,2130192000.0,0
VIVT3,13802162000.0,1675885000.0,834588000.0,1.21,12720910000.0,12862683000.0,1872454000.0,1120985000.0,1.64,12732709000.0,0
FLRY3,2410000000.0,214520000.0,93820000.0,3.37,1240000000.0,3310000000.0,197760000.0,74040000.0,1.46,1660000000.0,0
MOVI3,11350953000.0,485309000.0,21045000.0,0.74,2703206000.0,11394746000.0,501037000.0,-17864000.0,-0.58,2479144000.0,1
ODPV3,-248360000.0,176820000.0,139668000.0,11.44,521558000.0,-312000000.0,168996000.0,122980000.0,9.02,535214000.0,0
PDGR3,2644061000.0,-48280000.0,-208970000.0,-4.18,6052000.0,1297462000.0,10042000.0,-131773000.0,-2.51,35567000.0,0
NGRD3,-176889000.0,-92000.0,3059000.0,0.76,69877000.0,-161267000.0,-7615000.0,-3517000.0,-0.68,65685000.0,0
SBSP3,15810160000.0,1392470000.0,747210000.0,2.66,5698370000.0,16448838000.0,1070881000.0,743743000.0,2.59,6154537000.0,0
EZTC3,-180365000.0,29190000.0,46030000.0,0.94,250780000.0,-98261000.0,58201000.0,75512000.0,1.65,242732000.0,1
JHSF3,2196867000.0,190400000.0,86861000.0,1.75,354834000.0,2389505000.0,165220000.0,108608000.0,2.24,394414000.0,0
AZEV4,-3243000.0,-11657000.0,-20089000.0,-26.12,154822000.0,42218000.0,31054000.0,42312000.0,35.49,147916000.0,2
ENJU3,-301244000.0,-15177000.0,-9028000.0,-2.4,35867000.0,-294388000.0,-10895000.0,-4866000.0,-1.3,40083000.0,0
CASH3,-626385000.0,-32964000.0,-11869000.0,-1.36,98677000.0,-394670000.0,-16407000.0,-15532000.0,-1.73,72152000.0,0
DIRR3,340907000.0,102898000.0,72265000.0,4.35,557269000.0,358715000.0,129488000.0,114772000.0,7.17,605408000.0,0
MYPK3,4337638000.0,165760000.0,402000.0,-0.42,3998153000.0,3737960000.0,245625000.0,82105000.0,1.57,3801203000.0,1
FESA4,-686839000.0,141850000.0,131560000.0,4.15,716370000.0,-714573000.0,97980000.0,121775000.0,3.78,626128000.0,0
SRNA3,7533311000.0,120412000.0,-84014000.0,-1.66,583331000.0,8313690000.0,118248000.0,-101364000.0,-2.04,609411000.0,0
ELET6,35434800000.0,3986877000.0,405963000.0,0.44,9209833000.0,37175921000.0,5697633000.0,1618904000.0,1.51,9245530000.0,0
BLAU3,-304135000.0,51278000.0,51526000.0,2.83,258201000.0,-147983000.0,86246000.0,70110000.0,3.78,364309000.0,0
IRBR3,-4230691000.0,-115040000.0,8550000.0,0.21,1661700000.0,-3957609000.0,-113871000.0,20085000.0,0.49,1478646000.0,1
ENAT3,-12508000.0,175887000.0,118444000.0,2.84,445692000.0,119767000.0,91215000.0,41106000.0,1.01,420104000.0,2
PSSA3,-10723218000.0,422088000.0,355476000.0,3.15,7610291000.0,-11317337000.0,610845000.0,693354000.0,5.9,7878984000.0,0
AERI3,989587000.0,80200000.0,-22206000.0,-2.57,831622000.0,938618000.0,74579000.0,-19097000.0,-2.26,854602000.0,0
GFSA3,1484529000.0,-40860000.0,-34020000.0,-1.91,292510000.0,1627856000.0,-44566000.0,-90963000.0,-5.12,284232000.0,0
SBFG3,1365802000.0,106932000.0,1512000.0,0.08,1472122000.0,2652167000.0,48971000.0,-32581000.0,-1.46,1593145000.0,0
CMIG3,7322212000.0,1859305000.0,1398206000.0,6.13,8646937000.0,8105244000.0,1575671000.0,1245382000.0,5.27,8819517000.0,1
SMTO3,6587373000.0,318227000.0,151877000.0,2.57,1814218000.0,6685428000.0,380490000.0,220268000.0,3.62,1342587000.0,1
POSI3,921600000.0,72300000.0,8500000.0,0.54,702900000.0,884854000.0,83795000.0,21332000.0,1.46,754507000.0,0
GRND3,-1620182000.0,77640000.0,123120000.0,3.63,520110000.0,-662976000.0,11000.0,57246000.0,1.7,463619000.0,0
